[0.33506626 0.49802977],[0.32629412 0.5056652 ],[0.32688072 0.4872697 ],[0.32594642 0.51435256],[0.32885152 0.47208834],[0.36647254 0.53733546],[0.3726672  0.44986314],[0.43020478 0.54821515],[0.43517393 0.44999555],[0.4836972  0.54423666],[0.47797668 0.48217756],[0.49580273 0.5211896 ],[0.49269474 0.47572175],[0.59863526 0.5231853 ],[0.5997741  0.47683844],[0.68024105 0.5227856 ],[0.67717665 0.4784981 ]
[0.3339919  0.49593022],[0.32406083 0.50120646],[0.32399046 0.48719847],[0.32647845 0.5136283 ],[0.3293313  0.47396663],[0.3716133  0.53578335],[0.3782946 0.4537616],[0.4303021  0.54789835],[0.434987   0.45357186],[0.48351413 0.53638893],[0.4888959  0.46534944],[0.49981055 0.5233619 ],[0.49839762 0.47862995],[0.5994768 0.5231087],[0.6022556  0.47645202],[0.6808321 0.5221615],[0.67599154 0.4763799 ]
[0.33655587 0.4962053 ],[0.32712346 0.5041011 ],[0.32789606 0.4866001 ],[0.329224   0.51604104],[0.33065715 0.4767248 ],[0.36875278 0.5390798 ],[0.37757176 0.45561826],[0.43016317 0.55302024],[0.42863    0.45052055],[0.47433057 0.5313853 ],[0.49022913 0.46196774],[0.5005079 0.5269688],[0.5001747  0.47869292],[0.5965812 0.5235489],[0.59903985 0.47156125],[0.68175495 0.5220931 ],[0.67063725 0.47328156]
[0.33513105 0.49587446],[0.3253811 0.5038919],[0.32674944 0.4867868 ],[0.32780266 0.51822126],[0.32882848 0.47900903],[0.36662272 0.5409588 ],[0.37665263 0.4584232 ],[0.4281827 0.5568774],[0.42596698 0.45205194],[0.45992276 0.5314225 ],[0.4815457 0.4563388],[0.50004864 0.5262501 ],[0.4982909 0.4783748],[0.59406656 0.5216854 ],[0.5928343  0.47122842],[0.67900026 0.5197008 ],[0.664459  0.4721256]
[0.3374174  0.49646777],[0.3270365  0.50146663],[0.32681713 0.49264446],[0.32644486 0.51314807],[0.3285369  0.48940438],[0.36417946 0.52295744],[0.37510678 0.46804932],[0.42834675 0.55983794],[0.42876962 0.5631864 ],[0.4448281  0.48563144],[0.42548558 0.5160416 ],[0.49974588 0.5068594 ],[0.4954362 0.4894842],[0.5969064  0.51972264],[0.590974   0.48225215],[0.67227614 0.51395696],[0.6639888  0.47994068]
[0.33169037 0.49784338],[0.31975827 0.4921731 ],[0.31869066 0.501598  ],[0.3259928 0.4892785],[0.32367757 0.51427716],[0.3720315 0.4531176],[0.36300436 0.54337937],[0.42555192 0.44535875],[0.4233709 0.5710698],[0.47692236 0.4503243 ],[0.4057701 0.5554342],[0.49731547 0.4783472 ],[0.4947638 0.5266747],[0.58821154 0.47794154],[0.5872788 0.5309446],[0.6678277  0.48780438],[0.67405456 0.5203153 ]
[0.32993355 0.49982768],[0.31876183 0.49377257],[0.31747445 0.50754017],[0.32510734 0.4858983 ],[0.32244995 0.52023757],[0.3662914  0.45720387],[0.3601668  0.54392517],[0.42051333 0.447101  ],[0.41762966 0.57175946],[0.4658485  0.45252126],[0.37795386 0.5496015 ],[0.48871025 0.47905734],[0.4907448  0.52957636],[0.5917274  0.47947976],[0.593322  0.5284066],[0.6630859  0.47834027],[0.67940927 0.5229577 ]
[0.32853687 0.49813977],[0.31837112 0.49309626],[0.31622294 0.5074203 ],[0.3259023 0.4864224],[0.32235423 0.521212  ],[0.3670286  0.45778626],[0.3601309 0.5431249],[0.41950494 0.44937894],[0.41413462 0.57236683],[0.44500232 0.47110265],[0.3721797  0.54500663],[0.48843396 0.48059154],[0.48878592 0.52932507],[0.5849183  0.47930965],[0.59118253 0.5271645 ],[0.6589871  0.47967714],[0.6736004 0.5231942]
[0.3276744  0.49905267],[0.31574214 0.4943777 ],[0.314252  0.5096384],[0.32351997 0.4864801 ],[0.32049462 0.5228347 ],[0.36542416 0.45688385],[0.3592904 0.5450133],[0.41938442 0.44866103],[0.41564626 0.57154256],[0.43771443 0.47121838],[0.37028515 0.5403256 ],[0.48814994 0.48019195],[0.4888199  0.52900314],[0.5941845  0.48177093],[0.5963718 0.5282132],[0.6616661 0.4815163],[0.6764161 0.5239776]
[0.32832608 0.49822232],[0.31748074 0.49456483],[0.31716925 0.5057296 ],[0.3248588 0.4891175],[0.322318 0.516825],[0.36848217 0.45362577],[0.36062992 0.5435575 ],[0.4229124  0.44734225],[0.42247784 0.5701148 ],[0.4669783  0.45144963],[0.4026256  0.55549365],[0.49530083 0.47832626],[0.49202397 0.5250387 ],[0.59518516 0.48240626],[0.5979368  0.52862275],[0.668331  0.4884675],[0.6731971  0.51655984]
